order_id,tracking,declared_weight,carrier_total,outvio_estimate,factura,servicio,destino,billed_weight,weight_check,billed_portes,importe,scope,zone_or_country,expected_portes,diff,verdict,note,fuel_period,billed_fuel,expected_fuel,fuel_verdict,fuel_diff,cost_diff
ES26018513,4365321,3.19,5.38,3.02,72531,*B2C,LOR,6.528,STRAY-HIGH,5.0,5.38,national,area_bcn/corto/medio/largo,5.00,0.0,OK,,2026-04-13..2026-04-19,0.38,0.38,OK,0.0,0.0
ES26018740,4382069,3.51,5.38,3.02,72531,*B2C,ZAR,6.596,STRAY-HIGH,5.0,5.38,national,area_bcn/corto/medio/largo,5.00,0.0,OK,,2026-04-13..2026-04-19,0.38,0.38,OK,0.0,0.0
ES26018858,4400490,3.94,5.38,3.02,72531,*B2C,MAD,6.529,STRAY-HIGH,5.0,5.38,national,area_bcn/corto/medio/largo,5.00,0.0,OK,,2026-04-13..2026-04-19,0.38,0.38,OK,0.0,0.0
C074792 / 155170 SAT,1913699,,1.37,0.0,51824,S-24,BAR,2.8,no-declared,3.1,3.34,national,area_bcn/corto/medio/largo,3.10,0.0,OK,,2026-03-23..2026-03-29,0.24,0.24,OK,0.0,0.0
Z97X-2604-173140,4317982,3.24,5.39,3.02,72531,*B2C,COR,5.4,STRAY-HIGH,4.77,5.39,national,area_bcn/corto/medio/largo,4.77,0.0,OK,,2026-04-06..2026-04-12,0.37,0.37,OK,0.0,0.0
ES26018216,4346067,3.36,5.39,3.02,72531,*B2C,MAD,6.318,STRAY-HIGH,5.0,5.39,national,area_bcn/corto/medio/largo,5.00,0.0,OK,,2026-04-06..2026-04-12,0.39,0.39,OK,0.0,0.0
ES26017550,4276594,3.26,14.68,11.9,72531,CLS,IT,4.4,ok,11.95,14.68,international,ITALIA,11.95,0.0,OK,,2026-04-06..2026-04-12,2.33,2.33,OK,0.0,0.0
ES26017824,4314349,0.41,11.04,8.25,72531,CLS,DE,1.075,STRAY-HIGH,8.9,11.04,international,ALEMANIA,8.90,0.0,OK,,2026-04-06..2026-04-12,1.74,1.74,OK,0.0,0.0
ES26017887,4317637,0.18,11.04,8.25,72531,CLS,DE,1.075,STRAY-HIGH,8.9,11.04,international,ALEMANIA,8.90,0.0,OK,,2026-04-06..2026-04-12,1.74,1.74,OK,0.0,0.0
ES26017925,4324674,0.23,11.04,8.25,72531,CLS,DE,1.129,STRAY-HIGH,8.9,11.04,international,ALEMANIA,8.90,0.0,OK,,2026-04-06..2026-04-12,1.74,1.74,OK,0.0,0.0
ES26017926,4324700,0.35,11.04,8.25,72531,CLS,DE,1.129,STRAY-HIGH,8.9,11.04,international,ALEMANIA,8.90,0.0,OK,,2026-04-06..2026-04-12,1.74,1.74,OK,0.0,0.0
ES26017998,4327233,0.38,11.04,8.25,72531,CLS,DE,1.075,STRAY-HIGH,8.9,11.04,international,ALEMANIA,8.90,0.0,OK,,2026-04-06..2026-04-12,1.74,1.74,OK,0.0,0.0
ES26019155,4426840,6.14,5.58,3.18,72531,*B2C,OVI,6.14,ok,5.19,5.58,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-13..2026-04-19,0.39,0.39,OK,0.0,0.0
ES26019610,4455364,6.0,5.58,3.18,72531,*B2C,BIL,6.529,ok,5.19,5.58,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-13..2026-04-19,0.39,0.39,OK,0.0,0.0
ES26019727,4461409,6.0,5.58,3.18,72531,*B2C,VIG,6.318,ok,5.19,5.58,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-13..2026-04-19,0.39,0.39,OK,0.0,0.0
ES26019799,4467519,5.35,5.58,3.18,72531,*B2C,SAN,6.361,ok,5.19,5.58,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-13..2026-04-19,0.39,0.39,OK,0.0,0.0
ES26019828,4468226,4.37,5.58,3.18,72531,*B2C,AVI,6.361,ok,5.19,5.58,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-13..2026-04-19,0.39,0.39,OK,0.0,0.0
ES26018073,4329920,4.24,5.59,3.18,72531,*B2C,PAL,6.552,STRAY-HIGH,5.19,5.59,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-06..2026-04-12,0.4,0.40,OK,0.0,0.0
Z97X-2604-172361,4230889,,5.59,3.17,72531,*B2C,SAL,6.77,no-declared,5.19,5.59,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-06..2026-04-12,0.4,0.40,OK,0.0,0.0
ES26017529,4275941,6.03,8.82,3.4,72531,*B2C,SAN,6.03,ok,5.19,8.82,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-06..2026-04-12,0.63,0.63,OK,0.0,0.0
ES26016877,4166614,1.7,12.96,10.13,72531,CLS,IT,2.4,ok,10.3,12.96,international,ITALIA,10.30,0.0,OK,,2026-03-30..2026-04-05,2.01,2.01,OK,0.0,0.0
ES26017507,4274044,1.13,12.96,10.13,72531,CLS,IT,2.022,STRAY-HIGH,10.3,12.96,international,ITALIA,10.30,0.0,OK,,2026-04-06..2026-04-12,2.01,2.01,OK,0.0,0.0
ES26017564,4281395,,5.81,4.0,72531,*B2C,MAN,9.947,no-declared,5.39,5.81,national,area_bcn/corto/medio/largo,5.39,0.0,OK,,2026-04-06..2026-04-12,0.42,0.42,OK,0.0,0.0
ES26017927,4324702,9.36,15.27,13.92,72531,CLS,IT,5.968,stray-low,12.44,15.27,international,ITALIA,12.44,0.0,OK,,2026-04-06..2026-04-12,2.43,2.43,OK,0.0,0.0
ES26018315,4346274,0.85,11.08,8.25,72531,CLS,DE,1.1,ok,8.9,11.08,international,ALEMANIA,8.90,0.0,OK,,2026-04-06..2026-04-12,1.78,1.74,MISMATCH,0.04,0.04
ES26018841,4400245,0.8,11.08,8.25,72531,CLS,DE,1.129,ok,8.9,11.08,international,ALEMANIA,8.90,0.0,OK,,2026-04-13..2026-04-19,1.78,1.78,OK,0.0,0.0
ES26018846,4400319,0.6,11.08,8.25,72531,CLS,DE,1.129,STRAY-HIGH,8.9,11.08,international,ALEMANIA,8.90,0.0,OK,,2026-04-13..2026-04-19,1.78,1.78,OK,0.0,0.0
ES26019723,4461057,0.2,11.08,8.25,72531,CLS,BE,1.058,STRAY-HIGH,8.9,11.08,international,BELGICA,8.90,0.0,OK,,2026-04-13..2026-04-19,1.78,1.78,OK,0.0,0.0
ES26019272,4432252,5.4,5.63,3.18,72531,*B2C,VAL,6.7,ok,5.0,5.63,national,area_bcn/corto/medio/largo,5.00,0.0,OK,,2026-04-13..2026-04-19,0.38,0.38,OK,0.0,0.0
FR26017427,4272344,23.7,23.95,21.08,72531,CLS,FR,21.8,ok,19.7,23.95,international,FRANCIA,19.70,0.0,OK,,2026-04-06..2026-04-12,3.85,3.85,OK,0.0,0.0
ES26018306,4346239,5.3,15.33,12.44,72531,CLS,IT,6.0,ok,12.44,15.33,international,ITALIA,12.44,0.0,OK,,2026-04-06..2026-04-12,2.49,2.43,MISMATCH,0.06,0.06
ES26018311,4346261,5.02,15.33,12.44,72531,CLS,IT,5.916,ok,12.44,15.33,international,ITALIA,12.44,0.0,OK,,2026-04-06..2026-04-12,2.49,2.43,MISMATCH,0.06,0.06
ES26018848,4400332,26.57,15.33,24.42,72531,CLS,IT,5.65,stray-low,12.44,15.33,international,ITALIA,12.44,0.0,OK,,2026-04-13..2026-04-19,2.49,2.49,OK,0.0,0.0
ES26017798,4310429,1.13,11.81,8.9,72531,CLS,DE,2.022,STRAY-HIGH,9.55,11.81,international,ALEMANIA,9.55,0.0,OK,,2026-04-06..2026-04-12,1.86,1.86,OK,0.0,0.0
ES26019097,4414469,7.17,5.72,3.18,72531,*B2C,GER,7.17,ok,5.32,5.72,national,area_bcn/corto/medio/largo,5.32,0.0,OK,,2026-04-13..2026-04-19,0.4,0.40,OK,0.0,0.0
ES26018448,4348189,6.85,5.73,3.18,72531,*B2C,CAS,8.0,ok,5.32,5.73,national,area_bcn/corto/medio/largo,5.32,0.0,OK,,2026-04-06..2026-04-12,0.41,0.41,OK,0.0,0.0
Z97X-2604-172364,4231290,,5.73,3.17,72531,*B2C,MAD,7.4,no-declared,5.32,5.73,national,area_bcn/corto/medio/largo,5.32,0.0,OK,,2026-04-06..2026-04-12,0.41,0.41,OK,0.0,0.0
Z97X-2604-172811,4298159,3.24,16.25,13.29,72531,CLS,IT,7.8,STRAY-HIGH,13.26,16.25,international,ITALIA,13.26,0.0,OK,,2026-04-06..2026-04-12,2.59,2.59,OK,0.0,0.0
ES26018321,4346323,1.25,11.86,8.9,72531,CLS,DE,2.399,STRAY-HIGH,9.55,11.86,international,ALEMANIA,9.55,0.0,OK,,2026-04-06..2026-04-12,1.91,1.86,MISMATCH,0.05,0.05
Z97X-2604-174090,4387174,3.24,5.58,3.02,72531,*B2C,MAL,6.529,STRAY-HIGH,5.19,5.58,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-13..2026-04-19,0.39,0.39,OK,0.0,0.0
ES26018800,4421763,3.57,5.58,3.22,72531,*B2C,BAD,6.77,STRAY-HIGH,5.19,5.58,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-13..2026-04-19,0.39,0.39,OK,0.0,0.0
Z97X-2604-172392,4237529,,11.81,8.83,72531,CLS,DE,3.0,no-declared,9.55,11.81,international,ALEMANIA,9.55,0.0,OK,,2026-04-06..2026-04-12,1.86,1.86,OK,0.0,0.0
ES26018463,4362778,9.54,7.91,4.53,72531,*B2C,VAL,10.65,ok,7.17,7.91,national,area_bcn/corto/medio/largo,7.17,0.0,OK,,2026-04-13..2026-04-19,0.54,0.54,OK,0.0,0.0
ES26018468,4363016,9.53,7.91,4.53,72531,*B2C,VAL,13.65,ok,7.17,7.91,national,area_bcn/corto/medio/largo,7.17,0.0,OK,,2026-04-13..2026-04-19,0.54,0.54,OK,0.0,0.0
ES26019258,4431729,6.94,15.91,12.93,72531,CLS,IT,6.09,ok,12.93,15.91,international,ITALIA,12.93,0.0,OK,,2026-04-13..2026-04-19,2.58,2.58,OK,0.0,0.0
ES26019594,4454217,10.19,7.91,4.53,72531,*B2C,MAD,10.2,ok,7.17,7.91,national,area_bcn/corto/medio/largo,7.17,0.0,OK,,2026-04-13..2026-04-19,0.54,0.54,OK,0.0,0.0
ES26018486,4364065,10.6,6.94,4.33,72531,*B2C,BAR,10.6,ok,6.45,6.94,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-13..2026-04-19,0.49,0.49,OK,0.0,0.0
