ID del pedido,Seguimiento courier,Fecha de envío,Tarifa base,Peso facturable,Peso original,Contra reembolso (COD),Dimensión,Combustible,Paquetes,Seguro,Zona remota,Corrección de dirección,Derechos de exportación,Otros,Total mensajería,Total original,Fecha de recogida,Fecha de entrega,Días en tránsito,Días en tránsito (SLA),Razón,Sobrecargo total,Total esperado (checker),Sobrecargo (checker),Veredicto (checker),Razón (checker)
ES26018650,4372635,21.05.2026,8.25,2.11,0.62,0,0,0.0,0.0,0,0,0,0,0.0,12.11,8.25,13.04.2026,15.04.2026,2,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.46,12.11,0.0,OK,Peso
ES26019361,4436936,21.05.2026,2.96,9.95,0.1,0,0,0.0,0.0,0,0,0,0,0.0,6.42,2.96,15.04.2026,16.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.46,6.42,0.0,OK,
ES26017954,4326293,04.10.2026,4.33,19.45,11.38,0,0,0.0,0.2,0,0,0,0,0.0,8.8,4.53,10.04.2026,11.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.47,8.8,0.0,OK,Peso
ES26018877,4401215,21.05.2026,3.18,9.8,8.75,0,0,0.0,0.0,0,3,0,0,0.0,9.65,3.18,14.04.2026,15.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.47,9.65,0.0,OK,
Z97X-2604-174952,4452696,21.05.2026,9.47,6.4,3.24,0,0,0.0,0.0,0,0,0,0,0.0,13.36,9.47,16.04.2026,18.04.2026,2,3,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.49,13.36,0.0,OK,Peso
ES26018331,4346344,04.11.2026,3.18,9.4,7.81,0,0,0.0,0.0,0,0,0,0,0.0,6.68,3.18,13.04.2026,14.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.5,6.68,0.0,OK,
ES26018406,4347890,04.11.2026,3.18,8.4,7.09,0,0,0.0,0.0,0,0,0,0,0.0,6.68,3.18,13.04.2026,14.04.2026,2,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.5,6.68,0.0,OK,
ES26018312,4346263,04.11.2026,8.66,0.3,0.22,0,0,0.0,0.0,0,0,0,0,0.0,12.59,8.66,13.04.2026,17.04.2026,4,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.53,12.25,0.34,OK,Combustible
ES26022721,4766855,21.05.2026,5.81,0.24,0.24,0,0,1.51,0.0,0,0,0,0,0.0,10.1,7.32,30.04.2026,05.05.2026,5,2,Dimensions; Parcels; Other,2.55,9.84,0.26,OK,Combustible
ES26018803,4399044,21.05.2026,17.83,19.75,19.5,0,0,0.0,0.0,0,0,0,0,0.0,21.79,17.83,14.04.2026,16.04.2026,2,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.56,21.79,0.0,OK,
ES26019830,4468369,21.05.2026,8.21,45.0,42.6,0,0,0.0,0.3,0,0,0,0,0.0,13.77,8.51,17.04.2026,20.04.2026,4,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.56,13.77,0.0,OK,
